Employee_ID,Age,Gender,Department,Job_Role,Experience_Years,Education_Level,Certification_Count,AI_Training_Hours,Coding_Test_Score,Communication_Score,Leadership_Score,Problem_Solving_Score,Innovation_Score,Attendance_Percentage,Remote_Work_Days,Overtime_Hours,Salary,Promotion_Last_3Y,Project_Count,Client_Rating,Bug_Fix_Count,Deployment_Success_Rate,Team_Size,Stress_Level,Work_Life_Balance,Job_Satisfaction,Attrition_Risk,Manager_Rating,Employee_Performance_Score
100001,50,Other,Finance,Support Engineer,25,Master,3,199,78,93,48,59,37,75,12,40,669488,No,14,1.66,251,95.94,15,7,5,3,Low,5.0,62.54
100002,36,Other,IT,Cloud Engineer,32,Bachelor,8,164,40,73,57,84,91,88,17,74,534927,Yes,11,3.54,72,80.29,19,3,8,8,Low,2.07,64.29
100003,29,Female,HR,Software Engineer,3,Bachelor,10,139,72,56,87,84,48,71,17,48,1895516,Yes,12,3.74,479,74.14,22,4,1,8,Low,4.08,59.4
100004,42,Male,IT,Software Engineer,8,PhD,11,284,77,93,46,54,65,91,8,68,537600,Yes,13,1.74,131,81.49,6,2,8,7,Medium,1.22,69.55
100005,40,Female,Finance,DevOps Engineer,7,PhD,13,12,96,63,67,86,98,92,0,8,2090424,No,13,3.05,305,81.39,8,2,8,9,Low,2.97,73.09
100006,44,Other,Sales,Product Manager,1,Bachelor,8,25,72,62,85,48,89,89,1,47,1022884,Yes,3,4.52,297,73.78,21,3,9,7,High,3.52,64.98
100007,32,Male,Sales,Product Manager,28,PhD,0,21,87,75,75,57,63,82,7,11,907666,Yes,3,3.74,110,85.97,21,7,4,3,Medium,1.83,57.32
100008,32,Other,Finance,Data Scientist,22,Bachelor,6,75,42,92,42,85,84,98,12,64,1071775,Yes,14,3.7,492,73.06,3,6,3,1,High,2.9,57.81
100009,45,Other,Operations,Data Scientist,5,Master,9,91,71,92,83,94,56,95,5,13,2240305,Yes,8,3.89,495,76.07,19,1,9,3,Medium,2.83,65.55
100010,57,Male,Finance,Project Manager,20,Bachelor,8,265,52,51,55,85,68,100,18,63,1276761,No,13,2.4,137,91.69,15,9,5,2,High,2.13,65.31
100011,45,Male,HR,Product Manager,21,Bachelor,4,47,60,95,75,75,71,78,18,25,1111030,Yes,1,1.82,387,79.11,16,1,2,6,High,3.43,60.98
100012,24,Female,Marketing,Finance Analyst,8,PhD,0,169,43,96,43,85,71,96,24,6,1605523,No,12,3.93,495,89.35,5,7,3,5,High,3.71,62.07
100013,43,Female,IT,Software Engineer,33,Bachelor,7,244,56,72,74,81,77,81,1,54,1207466,No,5,4.25,55,76.32,19,8,8,9,Medium,1.35,61.61
100014,23,Other,IT,Project Manager,25,Master,4,227,81,77,48,69,60,85,9,58,532521,No,9,4.58,202,85.87,3,6,7,8,Low,1.62,67.38
100015,45,Male,Sales,QA Engineer,0,Master,5,186,43,50,95,50,51,98,4,79,1190761,Yes,2,4.18,321,73.09,5,1,4,5,Low,4.83,57.55
100016,51,Male,Operations,Data Scientist,4,PhD,6,167,59,81,85,93,70,88,22,78,1760424,No,14,2.38,219,71.3,16,2,9,2,Medium,1.16,61.34
100017,59,Female,Sales,Finance Analyst,21,PhD,9,202,98,61,51,72,53,71,21,55,746848,No,4,2.87,189,86.5,13,7,1,6,High,1.43,67.7
100018,23,Other,HR,Product Manager,3,Bachelor,6,5,51,95,49,98,69,85,0,67,1375844,Yes,9,4.12,139,93.35,20,5,7,5,High,4.25,70.97
100019,42,Other,Finance,HR Executive,1,PhD,12,131,65,99,85,85,61,96,12,29,919190,No,17,3.15,39,91.11,11,9,6,4,Medium,4.24,66.25
100020,54,Female,IT,AI Engineer,15,Master,13,244,84,84,83,79,80,99,11,22,461341,Yes,12,3.23,468,93.19,5,8,2,8,Low,4.82,80.99
100021,33,Male,HR,Project Manager,15,PhD,11,90,75,75,83,45,62,74,9,78,2294872,No,7,4.77,300,84.54,11,4,9,8,Medium,4.46,61.92
100022,43,Female,Sales,HR Executive,21,PhD,6,125,55,80,41,82,57,100,2,16,543966,No,8,4.83,481,90.9,24,5,9,8,High,1.87,57.67
100023,46,Female,Sales,Finance Analyst,0,Master,14,241,90,61,58,85,92,97,14,1,410597,Yes,1,4.04,247,72.45,4,3,7,5,High,3.72,76.85
100024,48,Female,IT,QA Engineer,14,Bachelor,0,248,46,78,52,78,51,94,4,71,954929,No,16,4.24,225,95.05,18,2,7,6,Low,1.79,64.81
100025,49,Female,Sales,DevOps Engineer,23,Bachelor,6,6,72,54,81,61,47,86,18,69,1106021,No,8,2.06,35,80.17,13,5,4,3,Medium,4.3,63.03
100026,37,Male,Operations,Software Engineer,3,PhD,10,87,87,84,94,78,31,75,18,38,1163499,No,13,3.38,433,96.22,13,4,7,6,High,3.09,60.51
100027,36,Female,Sales,DevOps Engineer,17,Master,2,85,41,56,92,92,55,93,20,47,640849,Yes,19,2.91,309,87.34,5,7,9,3,Medium,2.86,65.95
100028,24,Male,Marketing,Support Engineer,16,Master,4,144,72,65,72,58,68,76,12,4,523202,Yes,13,1.16,450,73.0,8,1,9,8,Low,3.0,70.1
100029,58,Female,Finance,DevOps Engineer,6,Master,9,197,53,81,40,61,46,75,7,20,999082,Yes,10,4.53,38,82.56,3,6,9,9,Low,1.1,48.32
100030,28,Other,Sales,Finance Analyst,9,Bachelor,4,163,59,66,67,70,45,72,7,49,1117785,No,12,2.18,389,94.14,11,9,5,5,Low,3.87,58.4
100031,42,Male,Marketing,Software Engineer,0,Master,7,144,76,70,79,81,56,94,23,19,1321900,Yes,7,4.73,320,77.28,3,6,3,9,Low,1.67,67.84
100032,30,Other,HR,ML Engineer,1,Master,6,0,66,76,45,64,78,90,5,70,2106080,Yes,13,3.55,488,75.47,7,9,3,8,High,1.55,64.71
100033,39,Female,Sales,Support Engineer,21,Bachelor,6,119,86,89,91,93,32,84,8,78,1957180,No,8,4.25,11,70.52,6,2,8,8,Medium,2.2,67.61
100034,25,Female,Operations,AI Engineer,31,Master,5,66,81,96,42,80,71,97,13,72,2452717,No,6,2.84,486,90.65,21,8,8,2,High,2.96,69.61
100035,46,Female,HR,Support Engineer,28,Bachelor,6,48,60,64,84,89,92,85,4,26,363892,Yes,9,1.75,253,81.26,7,9,9,8,High,3.04,68.86
100036,35,Male,Sales,Data Scientist,34,PhD,13,286,41,72,64,98,58,86,15,1,1506888,Yes,13,4.5,0,75.25,12,3,2,5,Medium,3.63,59.12
100037,30,Other,IT,Project Manager,16,PhD,6,23,82,57,96,88,31,78,13,46,510566,No,19,4.13,83,88.03,5,6,1,6,Medium,1.26,70.38
100038,47,Male,Marketing,DevOps Engineer,11,PhD,14,210,55,74,83,69,43,95,9,39,1022492,Yes,9,4.02,163,74.31,22,5,3,9,Low,2.35,59.03
100039,23,Male,Marketing,HR Executive,23,PhD,4,292,58,60,91,84,41,78,22,35,499950,Yes,18,1.85,165,91.74,10,6,8,2,Low,1.98,62.85
100040,41,Female,IT,ML Engineer,29,PhD,4,62,43,70,55,43,53,86,16,70,572187,No,18,3.09,431,87.5,2,9,6,1,Medium,2.61,53.91
100041,49,Other,Finance,Support Engineer,29,Bachelor,3,55,49,59,82,92,57,98,15,12,1365358,No,11,2.29,430,77.42,11,3,3,2,Low,3.04,65.51
100042,28,Female,Operations,ML Engineer,19,Bachelor,13,17,93,99,95,65,47,76,19,21,1745894,No,8,3.45,258,96.23,20,8,1,2,Low,4.4,67.43
100043,29,Male,Marketing,QA Engineer,6,Bachelor,3,76,61,58,43,46,35,94,16,17,1018871,No,2,3.13,177,86.77,18,7,5,8,High,4.44,58.6
100044,56,Female,HR,DevOps Engineer,6,Master,4,259,51,97,47,79,59,71,15,74,1332918,No,17,1.71,434,73.87,6,9,6,7,Medium,3.14,49.87
100045,35,Other,Operations,Marketing Specialist,29,PhD,9,120,41,50,78,87,63,95,9,5,1531167,Yes,10,3.49,172,91.56,12,4,7,2,Medium,4.14,56.53
100046,38,Female,Marketing,DevOps Engineer,11,Master,8,183,41,71,55,51,87,75,17,67,2337191,Yes,15,1.15,147,79.44,22,3,4,2,Medium,2.62,50.79
100047,57,Other,Finance,Business Analyst,30,Master,13,47,80,55,83,40,57,79,5,66,1862017,Yes,1,1.28,237,93.25,20,9,1,9,High,4.95,66.92
100048,25,Other,HR,Project Manager,17,Master,10,146,83,79,77,45,82,86,16,51,2275381,No,2,1.73,173,82.04,22,3,7,2,Low,1.5,72.06
100049,23,Female,Operations,Finance Analyst,1,PhD,11,281,73,83,62,40,45,83,8,69,846715,No,7,3.32,327,72.27,2,3,9,9,Low,1.57,57.4
100050,27,Male,HR,QA Engineer,32,Master,5,293,57,62,45,47,55,72,21,78,339674,Yes,5,4.04,138,88.91,17,1,9,6,Low,2.17,58.17
100051,25,Female,IT,Project Manager,10,PhD,7,79,55,71,82,83,94,96,7,2,1898827,Yes,13,4.13,363,79.31,3,4,6,1,Low,1.42,74.83
100052,50,Male,Sales,ML Engineer,33,PhD,8,235,58,55,83,87,86,85,7,16,1779716,No,5,2.11,439,98.26,3,7,2,6,Medium,1.02,62.77
100053,39,Male,IT,ML Engineer,15,PhD,11,228,86,90,55,72,60,85,11,65,1553272,No,11,2.54,384,94.9,12,8,1,1,Medium,2.31,62.25
100054,47,Female,Operations,Business Analyst,34,Master,13,283,64,95,93,43,56,74,17,56,1040082,Yes,10,1.94,29,80.62,18,2,2,6,Medium,1.19,67.69
100055,55,Male,Sales,Support Engineer,32,PhD,3,60,69,73,55,90,78,85,1,79,1537121,No,12,1.15,59,70.78,23,7,9,1,Medium,3.33,60.64
100056,31,Male,IT,Data Scientist,20,PhD,11,219,87,70,62,89,38,92,2,21,1682299,Yes,2,2.98,424,86.13,17,9,5,6,High,4.34,69.01
100057,57,Female,Sales,Cloud Engineer,19,Bachelor,12,88,45,88,55,79,55,96,23,10,1937275,No,12,3.18,179,89.37,14,4,9,3,High,1.73,56.83
100058,35,Female,Marketing,HR Executive,7,Master,6,263,66,72,75,45,35,74,10,35,487094,Yes,7,4.74,461,90.48,8,9,2,6,Low,3.4,52.22
100059,52,Female,HR,Cloud Engineer,25,Bachelor,4,227,54,54,51,84,36,93,23,52,2450245,No,19,3.85,19,80.48,19,4,2,3,High,1.97,55.45
100060,36,Male,Sales,DevOps Engineer,32,Bachelor,3,102,70,56,76,99,42,74,20,75,1283575,Yes,19,4.74,109,74.25,18,1,5,6,High,3.12,75.04
100061,29,Other,Marketing,Product Manager,25,Master,11,87,83,52,48,91,78,75,12,39,913624,No,2,2.12,285,86.78,22,6,5,6,High,3.14,64.09
100062,35,Male,Finance,Software Engineer,29,Bachelor,6,22,61,62,57,42,39,87,17,34,1569986,No,13,3.9,300,84.62,16,4,7,7,High,1.21,54.86
100063,44,Other,IT,Sales Executive,30,PhD,2,292,51,61,48,54,72,81,10,42,2242161,Yes,5,3.39,203,99.82,12,5,3,6,Low,4.72,56.01
100064,42,Female,Finance,Product Manager,32,Bachelor,0,266,49,55,87,45,78,90,13,44,1109817,No,16,2.19,267,87.24,24,8,8,6,Medium,1.71,48.04
100065,37,Other,Operations,QA Engineer,10,Bachelor,6,16,60,83,60,45,47,76,19,40,1913879,No,19,1.84,371,75.45,22,2,3,6,Medium,3.3,54.89
100066,39,Female,Marketing,DevOps Engineer,4,PhD,8,284,86,64,97,76,40,86,3,63,867846,Yes,2,2.16,294,80.85,22,9,7,9,Low,2.83,64.61
100067,45,Female,Finance,Product Manager,1,Bachelor,1,161,94,96,40,90,39,79,22,14,2453427,No,12,4.92,65,85.94,10,3,1,7,High,4.22,72.04
100068,47,Other,Finance,Data Scientist,12,PhD,6,77,98,67,98,66,57,78,3,43,1735450,No,1,1.09,214,95.13,15,3,5,8,Medium,2.51,61.4
100069,46,Female,Marketing,Cloud Engineer,17,Master,9,121,70,98,62,81,82,78,9,41,2467905,Yes,9,4.62,377,84.43,12,6,9,2,High,3.92,70.72
100070,50,Other,HR,DevOps Engineer,25,Bachelor,1,111,75,52,44,80,83,93,21,58,1067186,Yes,2,4.09,458,94.01,7,5,4,3,Low,4.1,67.85
100071,36,Female,Sales,Project Manager,24,Master,12,238,49,71,58,85,54,80,1,3,2262548,No,2,3.17,175,74.67,7,6,3,2,High,1.66,63.42
100072,22,Male,Operations,Sales Executive,13,Bachelor,12,209,97,84,74,93,35,94,17,70,423936,No,19,4.43,268,81.46,15,5,5,5,High,3.69,79.56
100073,46,Male,Operations,Support Engineer,4,PhD,2,1,58,77,72,44,40,83,10,28,965876,No,14,1.21,317,85.57,4,8,9,8,High,2.75,55.17
100074,28,Female,IT,HR Executive,1,Bachelor,12,202,62,90,94,98,62,74,4,40,2371494,No,17,3.18,17,70.71,20,9,2,5,High,4.82,65.74
100075,30,Female,Sales,Project Manager,3,Master,9,286,85,91,85,78,98,76,16,5,1231259,No,5,2.14,146,92.78,10,2,7,2,Medium,4.95,77.79
100076,45,Other,IT,ML Engineer,11,PhD,13,116,49,61,57,56,75,86,1,38,1482849,No,8,1.04,154,94.97,16,9,9,2,Medium,3.8,53.55
100077,22,Male,Operations,Finance Analyst,10,PhD,11,299,88,50,79,62,84,92,2,65,1246737,No,13,3.48,394,79.72,22,8,4,2,Medium,3.25,70.14
100078,29,Other,Sales,AI Engineer,3,Master,9,113,93,85,53,56,99,78,24,26,462270,Yes,19,3.63,29,98.74,11,1,5,4,High,2.27,70.44
100079,45,Female,Finance,DevOps Engineer,8,Master,2,73,98,79,59,80,80,88,24,6,492432,No,1,3.36,128,91.92,7,8,5,5,High,2.05,77.26
