ModelID,Algorithm,TrainingSamples,Accuracy,InferenceLatency,DataDrift,CPUUsage,PredictionConfidence,FailureRisk
M001,RandomForest,120000,96.2,45,2,42,0.98,0
M002,XGBoost,95000,91.5,80,8,60,0.91,0
M003,CNN,150000,98.1,120,3,75,0.99,0
M004,LSTM,210000,94.6,95,6,68,0.95,0
M005,SVM,85000,88.2,40,18,38,0.84,1
M006,DecisionTree,60000,84.5,30,25,30,0.8,1
M007,Transformer,300000,99.1,210,1,91,0.99,0
M008,RandomForest,140000,95.8,55,4,50,0.97,0
M009,CNN,175000,97.3,130,5,72,0.98,0
M010,XGBoost,98000,90.8,85,10,61,0.9,0
M011,LSTM,225000,95.2,110,7,69,0.96,0
M012,Transformer,315000,99.4,260,0,95,0.99,0
M013,SVM,90000,89.3,42,20,41,0.85,1
M014,RandomForest,132000,94.8,60,6,52,0.95,0
M015,CNN,182000,96.7,125,3,76,0.98,0
M016,XGBoost,110000,92.4,78,9,59,0.92,0
M017,DecisionTree,72000,83.9,28,27,28,0.79,1
M018,LSTM,250000,95.9,108,5,67,0.96,0
M019,Transformer,330000,99.5,240,1,94,0.99,0
M020,CNN,165000,97.0,135,4,74,0.98,0
M021,RandomForest,128000,95.1,58,6,53,0.95,0
M022,XGBoost,103000,91.2,82,8,62,0.91,0
M023,CNN,194000,97.8,118,2,73,0.98,0
M024,Transformer,280000,99.0,225,1,90,0.99,0
M025,SVM,88000,87.6,38,19,39,0.83,1
M026,DecisionTree,64000,84.2,25,26,26,0.81,1
M027,RandomForest,145000,95.7,52,5,49,0.96,0
M028,CNN,180000,97.5,132,4,71,0.97,0
M029,LSTM,240000,96.0,105,6,66,0.95,0
M030,Transformer,350000,99.2,250,0,96,0.99,0
M031,RandomForest,150000,95.5,63,3,54,0.96,0
M032,CNN,190000,97.2,128,2,70,0.98,0
M033,XGBoost,100000,91.0,76,9,63,0.9,0
M034,LSTM,260000,95.8,115,5,68,0.96,0
M035,SVM,92000,88.5,41,18,40,0.84,1
M036,Transformer,340000,99.1,235,1,92,0.99,0
M037,DecisionTree,70000,83.7,26,28,25,0.78,1
M038,RandomForest,155000,95.6,50,4,48,0.95,0
M039,CNN,205000,97.4,138,5,74,0.98,0
M040,XGBoost,115000,92.1,74,10,60,0.91,0
M041,LSTM,270000,95.9,112,6,69,0.96,0
M042,Transformer,360000,99.6,255,0,97,0.99,0
M043,CNN,170000,96.8,127,4,77,0.97,0
M044,RandomForest,149000,94.9,57,5,51,0.95,0
M045,SVM,87000,88.8,39,21,37,0.85,1
M046,DecisionTree,62000,84.0,27,25,29,0.8,1
M047,XGBoost,108000,91.8,79,9,58,0.92,0
M048,Transformer,320000,99.3,220,1,93,0.99,0
M049,CNN,185000,97.1,129,3,72,0.98,0
M050,RandomForest,142000,95.3,56,4,47,0.96,0
